text,compound,label
"joss wlw mahalan",0,1
good,0,1
"sangat membantuuuu sekali",0,1
"lebih lancar dipembayaran pln pgn kartu halo semoga semakin berkembang pembayaran tokopedia lainya",0,1
good,0,1
"transaksi perbaiki pas tahap akhir byr selalu gagal dicoba brpa kali ttp g",-0.5,0
"sangat membantu",0,1
"gopay paylaternya kek pemerasan telat sehari rb dendanya padahal utang cuma rb lewat sehari denda rb jangan pake gopaypay laternya boss bahaya",0,1
"pertolongan disaat yg menolong hahahah",0,1
"gojek sekarang jelek kalo order dapet drivernya jauh banget gk terdekat jadi bikin lama kasian drivernya kasian customer nya nunggu lama kesel bgt sih sekarang sama gojek sistemnya jadi jelek",-1.2,0
"sangat bagus",0.5,2
"penting keadaan hujan gocar menjadi solusi kali pesan dibatalkan sisanya jam menunggu aplikasi muter driver langsung dibatalkan drivernya miris sekali padahal pembatalan harga melonjak naik",0,1
"gopay latermu brengsek lupa hari aja udah denda k padahal cuma belanja k pantas digeser grab sekarang apa balmod si mendikbud",0,1
"seneng gojek gocar",0,1
jelek,-0.6,0
"good aplikasion",0,1
"perbanyak lg promo voucher nya",0.6,2
,0,1
"terima kasih langganan pakai aplikasi",0,1
"mahal mending pake maxim",-0.3,0
"tiba gopaylater blokir padahal pernah telat bayar skrng tagihan lunas semua",0,1
"ulasan terbaru maaf yah kecewa dgn aplikasi setia nya beberapa tahun pertimbangan nya dgn kesetiaan email ga bls ga respon mengajukan permohonan kecewa sekali gopaylater blokir allah ulasan lama makin mantap kelengkapan nya transfortasi makanan pembayaran all transf pinjaman semuanya gampang satu aplikasi alhamdulillah katagori juragan",0.2,2
"wsw si urqyws",0,1
"aplikasi aneh tibatiba saldo gopay saldo tabungan refund pihak gopay saldo ga pakai",-0.4,0
"memberikan opsional gopay later pembayaran selalu tepat waktu waktu dihandle findaya aman aja dipegang mab malah sering blokir alasan yg jelasbaru dibuka blokir pagi sore diblokir entah apa alasannya ditanya melalui email jawabannya selalu templatelimit sangat aman utk digunakan kalo emg gak niat kasih paylater gausah dikasih limit mendingan tutup aja tuh fasilitas paylater aneh",-0.4,0
"terima kasih sangat membantu",0,1
lemot,0,1
"buat aplikasi gojek terimakasih atas fiturnya yg mudah mengerti buat gampang transaksi",0,1
"bagus kadang cancel gk konfimasi",0.4,2
"membantu sekali",0,1
"sangat bermanfaat",0,1
,0,1
"edan telat sehari gopaylater denda rb ingetin jg gak kdg lupa",0,1
"ga inget punya tagihan gopay later k doang terlambat hari doang denda k ga punya pikiran banget yg buat kebijakan harusnya denda kan beberapa persen total pinjaman pinjem k denda k",0,1
"makin lama makin ribet fasilitasnya bmyak yg berubah",0,1
"umumnya pengemudi baikan sopan",0,1
"program seseru kompetitor",0,1
"gojek semakin mantap",1,2
"aplikasi sering error mohon diperbaiki yah",0,1
,0,1
"perjalanan jadi mudah bersama gojek",0,1
super,0,1
"aplikasi zionis mang sadis uninstal aj cari yg drivernya pd songong suka cari gara gara sm orang",0,1
baguss,0,1
"mantap sangat terbantu dng aplikasi",1,2
bagus,0.5,2
"promonya sepi",0,1
good,0,1
syip,0,1
"layanan cs gak lengkap",0,1
"maaf sy jarang pergi krn bokek ngandalin gokar driver akunnya ga jadi ngejob oflenpun sepi pol krn bospada aneh cari yg termurah dr yg murah",-0.4,0
"sangat membantu",0,1
"semua rasa khawatir terimakasih",0,1
"banyak promonya",0,1
"gimana pesen gosend ga dapet biasanya cepet bgt lgsg dapet",0,1
"good attitude",0,1
mantap,1,2
"gopaylater blokir",0,1
"sangat mudah mebantu",0,1
"kerennmakin mudah sering promo min",0.6,2
"pelayanannya cepat",0,1
"salah posisilokasi discount ga terpampang jelas jadi kelewat",-0.5,0
"bagus ramah",0.5,2
"fungsionalitas bepergian bersama keluarga",0,1
"aplikasi iki keren abis pokoknya",0,1
"oke lah cukup",0,1
"sangat bagus sekali aplikasi",0.5,2
"selalu puas menggunakan aplikasi sangat membantu sukses selalu gojek",0.9,2
"rute dilalui pengantaran jalanbuntu",0,1
mantap,1,2
"penjemputan lama",0,1
"makin kesini makin ribet mau hub cs aja ribet menunya mutermuter terus",0,1
bagus,0.5,2
"tambah sukses",0,1
okok,0,1
,0,1
"percepat pengembalian dana sangat butuh duit beli obat adek yg sedang sakit parah",-0.6,0
,0,1
"very satisfying application i am not a native indonesian i come from germany where i live there is no service as good as this hopefully this application can be even greater",0,1
good,0,1
good,0,1
"dendanya keterlaluan telat sehari rb lebih kejam pinjol",0,1
"gojek payah",0,1
"semakin update semakin mahal ongkos kirim masuk akal",-0.3,0
"gopaylater digunakan jdi males naik gojek lgi achhh",0,1
"versi terbaru sinyal mash banyk iklan wah parah sekarng",-0.6,0
"permudah urusan pesanan",0,1
"sangat membantu",0,1
"jangan download jelek bgt pelayanan y",-0.6,0
"sangat terbantu terimakasih",0,1
"menghubungi cs bagaimaa caranya",0,1
"semuanya dibuat mudah",0,1
"nothings compare",0,1
"gojek terbaik",0,1
"gojek mempermudah transportasi mampu meningkatkan perekonomian keluarga",0,1
"gopaylatter by mab aneh beberap fitur nya gak pake pembayaran gopaylatter awal gopulsa sekarang gak trus tambah gomart gak pake gopaylatter",-0.4,0
"aplikasi cukup membantu",0,1
"sekarang hancur sistem mau persen goofood dipaksa nunggu lama kalau kembalikan sistem jamam pak nadiem",0,1
"gojek sangat baik",0.5,2
"mantab tingkatkan pelayanan",0,1
"manusiawi not safe",0,1
"mencari no cs yg dihubungi gak nemu sama punya akun gojek punya tunggakan pay later masalah kartu mati gara kelamaan indonesia timur lupa isiin pulsa hp rusa jadi lost aplikasi pakai no tersebut solusi mau bayar tunggakan pay later",-0.7,0
"gojek aplikasi penyiksa driver",0,1
"usefull helpfull",0,1
"sangat membantu",0,1
"perjalanan sesuai kebutuhan",0,1
"akun gopaylater terblokir respon csnya",0,1
"jam top up saldo gopay alfamart masuk berapa kali pake fitur bantuan sama nunggu hari kerja padahal cuma ribu top up nya",0,1
professional,0,1
"simple userless",0,1
"memudahkan bepergian lainy",0,1
"driver jemput jauh banget bikin telat kerja",0,1
"dong gojek call centernya ditelfon nomernya malah terdaftar customer service email antrean terus dikontak lewat sosial medianya engga respon dong jangan ngecewainsaya pengguna lama gojek selama engga masalah selalu mengikuti prosedur malah begini pelayanannya kecewa banget",-0.4,0
"gonpay later sering gangguan dibenahi",0,1
"gopay later tibatiba terblokir limit melimpah pembayaran tepat waktu kali hubungi cs tetap penyelesaian alasan yg jelas terakhir disuruh mencoba bulan depan untungnya ngirit hehe",0,1
"samgat baik membantu",0.5,2
mantap,1,2
"ramah sekali driver nya suka ajak ngobrol",0,1
"gopaylater lambat sehari aja dendanya gede bgt parah",-1.4,0
,0,1
aman,0,1
"tolol sinyal full kuota banyak giliran transfer error eh taunya udah transfer kirain ggara sinyal error jadinya x konfirmasi ehh malah aplikasinya tolol tolol tolol",0,1
"susah driver hujan drivers nya pilih pilih orderan",-0.6,0
"ga tau disuruh temen",0,1
"gocar kalo pagi lama banget gaada mau angkut",0,1
goog,0,1
"kalau hujan susah bgt allah dapetinnya mana sering telat sekolah garagara susah dapet driver",-1.2,0
"woyyyy anjingggg goblokkkkkk udah top up gopay saldo rekening udah kepotong saldo gopay tetep dasar anjinggggg taiiii babiiiiiiii",0,1
"cuman lelet x",-0.7,0
"hapus aplikasi turut bekerjasama dgn aplikasi penipuan dgn memasang iklannya",0,1
bagus,0.5,2
"good aplcation",0,1
bagus,0.5,2
"aplikasi gojek bagus gampang cari alamatnya",0.5,2
"habis isi gopay baru dipakai dikit sisa banyak apk gojek g dibuka sdh bl lalu",0,1
gercep,0,1
bagus,0.5,2
"sangat membantu",0,1
oke,0,1
"lama gak jelas aplikasi nyari driver skrg kyk susah bgt pantesan aplikasi sebelah lebih berjaya perbakin manajemen nya lama punah lu yg bertahan malah yg luar negeri sampah aplikasinya skrg gw dlu belain selalu gunakan aplikasi gojek mendukung produk lokal skrg gw jadi beralih sebelah lebih cepet dpt driver mahal jg gw jabanin mohon klau bsa jgn mengecewakan pengguna setia lah jam yg gak sibuk cari driver susah buang waktu",-2,0
"melayani dgn baik",0.5,2
mantab,0,1
"suka sebenar nya tpi",0,1
"gopay laternya bayar lebih awal jadi b dulu kalo baru kasih b",0,1
"yg sempurna kesempurnaan milik allah",0,1
"sangat membantu",0,1
"cepatramahm embantu sekali",0,1
"lebih murah dibandingkan sebelahok tetap berjaya go go go",0,1
"telat dikit langsung diblokir gbs digunain lg pdhl pelanggan setia najissssss",0,1
"selalu jalan",0,1
"kecewa apk masak isi paket data apk udh kepotong paket data masuk sama sekali sangat kecewa bkn masalah nominal rb kepotong paket data krna isi paket data jd gb rb masuk sangat kecewa",-1.2,0
"jgn alay lah",0,1
"senang playanan cepat driver ramah sering promo n disc",0.6,2
"jawaban pusat bantuan berguna giliran hub cs balas nya lama banget",0,1
"tepat waktu banyak promonya",0,1
"kadang aplikasi eror voucher menghilang semua tanggal layanan bantuan sesuai",-0.1,0
"belakangan sering terjadi orderan ganda jadi salah paham sama drivernya marah drivernya gara orderan gandanya",-0.5,0
"gercep suka kr sering promo hematnya",0.6,2
"knp akun gojek sy gk buka sdh update",0,1
mantap,1,2
"gonek sangat membantu",0,1
amtap,0,1
mantap,1,2
membantu,0,1
"tiba tiba gopay leter blokir ga jelas padahal slalu tepat bayar",0,1
"trima kasih pak driver walaupun hujan siap mengantar",0,1
bagus,0.5,2
bagus,0.5,2
,0,1
terbaik,0,1
,0,1
"sangat membantu",0,1
"jadi lemot hbis update an harusnya makin lancar",0,1
,0,1
"bila pesan car hemat tunggu lama",0,1
"semoga berkah",0,1
"gojek mantaplah",0,1
good,0,1
mantap,1,2
"mantap bawanya pak",1,2
"bagus sekali",0.5,2
"aplikasi keluar terus digunakan",0,1
"gak tau dah mau komen apaintinya aplikasi makin jelek ajapesanan suka lama banget padahal jaraknya gak jauh alamat suka nyasar tibatiba sesuai",-0.6,0
"gojek jadi langganan service prima",0,1
"sangat membantu",0,1
"mesen gojek padahal banyak yg deket malah dapet yg drivernya jauh jadinya telat kantor nanya supirnya katanya biar rata kebagian semua ordernya yg rugikan ga deh pake aplikasi kecewa sangat",-0.4,0
"cukup membantu kala lg butuh transportasi",0,1
"sangat memudahkan",0,1
bagus,0.5,2
"update malah tambah jelek",-0.6,0
"hampir semua driver bilangnya gaada kembalian giliran dibilang bener gaada duit receh baru dikasih kembalian tingkatkan kejujuran yaa",0,1
"aplikasi yg sangat bagus profesional sangat membantu",0.5,2
"masa payleter terlambat hari denda parah banget outo unistal",-0.6,0
"gak buka buka akun mo bayar paylater jd kena denda sehari pdhl baru kelewat beberapa jam baru bsa update gmna cara hapus dendanya",0,1
"sangat bagus",0.5,2
"hi gojek ga sah ngadi bnyak sekarang apk yg jauh lbh murah transportasi pinjaman masa denda ga wajar hutangnya cuma k ru telat hari dah denda k ampunn dah pegang karya anak bangsa malah ga jelas g kaya dulu waktu pegang findaya dendanya per hari kan orang kadang lupa mah alamat uni instal apk rame satu kluarga pindah k maxim indrive ngadi bnget apknya gojek sekarang",-0.1,0
"lebih baik",0.5,2
"sangat bagus",0.5,2
"sekarang ga psn gojek buat org yaklau beda lokasi malah alamatnya ga kebacapdhal dulu",0,1
"sy sebenarnya tdk telat menunggu titik lokasi sy yg kena charge padahal titik jemput benar",0,1
mantabb,0,1
"pokok ee mantap",1,2
"perjalanan jadi mudah",0,1
"bagus sekarang gak dibuka",0.5,2
"apk sangat ngebantu banget memesan makanan lewat online perpegian",0,1
bagus,0.5,2
bagus,0.5,2
"mudah cepat murah",0,1
"make me power you are a few minutes to get away for me",0,1
"gopay pinjampengajuan selalu tolak",0,1
"oppo f s",0,1
"lebih banyak driver lokasinya jauh titik penjemputan",0,1
"pelayanan nya semakin mengecewakan",0,1
mantap,1,2
,0,1
"gopaylater tiba diblokir ga jelas bayar ga pernah telat aplikasi aneh",-0.4,0
mantap,1,2
"gopay later blockir padahal sering bayar",0,1
"jadi atur semua pembayaran",0,1
"antoh neh psyouh bek gawei tokes",0,1
"aman ongkirnya promo",0.6,2
baik,0.5,2
"good job",0,1
"terima kasih pinjaman ivoji sangat membantu",0,1
"gojek mau bepergian mudah cepat murah",0,1
ramah,0,1
easy,0,1
bagus,0.5,2
"buat kalian yg suka pakai gopaylater update klik soalnya klo update tiba terblokir gak pakai lgi padahal selama sangat membantu bayarnya sllu tgl padahal jt tgl",0,1
"lebih mantap paki gojek",1,2
"masuk akun padahal punya akun selalu keluar notic masalah jaringan padahal wifi kenceng paket data banyak selalu berulang gk masuk akun sebelumnya malah gopaynya gk pake notic jaringan padahal paket datanya nyala banyak parah sih",-0.6,0
mantap,1,2
"banyakin promo diskonnya pengguna gopayletter",0.6,2
"iklan meresahkan",0,1
"good lah",0,1
"good membantu sekali",0,1
"solusi yg mau buru dgn biaya yg terjangkau sat set set",0,1
"tepat waktu",0,1
"ga pernah kecewa sama gojek selalu terbaik",-0.4,0
"gopaylater blokir bln okt januari limit naik tdk gunakan terblokir gopaylater berguna mohon infonya terimakasih",0,1
"titik nya selalu menceng jauh fiper baiki rute drivernya prnjemputan lebih cepat menjemput",0,1
"top up saldo gopay langsung terpotong tagihan yg jelas padahal pernah meminjambayar menggunakan aplikasi gojek sebelumnya menerima transfer saldo gopay terpotong tagihan yg jelas kali terpotong gara tagihan",0,1
"mantabbb betul",0,1
"pelayanannya lambat ribetterutama buat gopay plus ga ganti no baruga hapus akun ganti no barumenyusahkan sekali proses nya",-0.8,0
"good aplication",0,1
"satu nya apk ga cocok kasih bintang",0,1
"ongkir gofoodnha mahal banget mana promo berlaku cuma minimal belanja rb",0,1
"gojek makin lama makin buruk tiap update bukannya makin bagus malah makin gk jelas",-0.1,0
good,0,1
"langganan gofood pluss biar gratis ongkir biaya penanganan sama aja jadinya kena ongkir gimanasih rugi",-1,0
"apk jelekk gampang bgt",0,1
"pokoknya membantu",0,1
"oke banget",0,1
,0,1
"tiap buka aplikasi sruh up date baru minggu buka update lg jd mau buru nunggu instal dlutolonglah masak iya bulan update x",0,1
"psnn cepatjoss",0,1
"banyak fitur baru yg sngt membantu memudahkan",0,1
"bagus mantap",1.5,2
"good recommended",0,1
"saran aja jangan pernah pake gopay later pengaturan paylater pembayaran ndak ditampilkan didepan biar lupa bayar biar kena denda telat sehari mantappzzzzzz",0,1
good,0,1
mantaf,0,1
mantap,1,2
"gak pake gopay balikin",0,1
"okein aja",0,1
"pengembang aplikasi update rasakan vitur menunya semakin rumit kalau update menu vitur dibuat aplikasi versi sebelumnya lebih mudah digunakan membingungkan",0,1
"murah nyaman cepat",0,1
"biasa kalo hujan susah driver sekali nya posisi nya jauh pas tanya driver samping pak orderan ga masuk ga pak ladi suspend menit gara ngelewatin orderan soalnya kalo hujan orderan nya ngaco jauh jemput nya",-0.6,0
"capek ama gocar tiap butuh antar anak kesekolah gak sama sekalinunggu cati driver mnt alasan siap jalan minta d batalin mentang hujan banyak orderan jadi milih percuma promo gak pernah kepakai akhirnya naik gobike anak hujanan pakai jas hujan padahak harga ama gocar beda tipis benar bikin kecewa",-0.5,0
"order gocar semakin susah padahal dimaps driver yg dekat udah nungguin lama ga yg nyangkut",-0.6,0
"cukup bagus sih lumayan peningkatan tp disayangkan beberapa driver mempermainkan cust dg alasan tarif terlalu murah halo gabisa ngatur udah aplikasi tarifnya memilih menggunakan argo apa ride car kalau dirasa tarif terlalu murah silahkan lapor kantorcs jk tdk sesuai keinginan kalian jgn cm nerima order tp ga jalan ujungujungnya dibatalkan sepihak",0.5,2
"semoga berkah",0,1
"tambah lama tambah ngak berguna",0,1
"semoga lebih baik",0.5,2
"kecewa berat sama gojek gopay blokir padahal melakukan kesalahan apapun pihak gojek",-0.4,0
"hp kereset instal ulang gojek mapnya malah ngawur rutenya dijauhjauhin padahal rute jalan utama",0,1
"sering sering promo jangn pelanggan yg baru aja d kasih promo banyak pelanggan lama biar ga berpaling gofood mantap",2.2,2
"gopaylater diblokir sepihak transaksi lancar pembayaran lancar emang bener dahh gojek udah ga seru",0,1
"cepet aja pokoknya",0,1
"sangat membantu",0,1
"jangan tunggu jatuh tempo baru bayar klo orang mau bayar duluan kasih aja lupa jadi nya kan enak kamu fee denda",0,1
"selalu bug aplikasi kali akun promo sama sekali padahal banyak tampilan promo dipakai langganan tersedia loading go food sangat lambat padahal internet lancar mohin diperbaiki",0.4,2
"banyak diskon supir gojek ramah terima kasih tuhan memberkati",0,1
"gojek ga dibuka semejak dipembaharui aplikasi gojek versi baru",0,1
"apk gak jelas ngelag kocak",-0.8,0
"aplikasi berguna",0,1
"aplikasi jadi ngaco stlah upgrade jadi susah top up sado jadi hilang",-0.9,0
,0,1
,0,1
"selalu sat set drivernyamantap",0,1
"sangat membantu sayangnya order sore malam ac mobil gocart sering off kan driver kenyamanan customer berkurang",0,1
"sangat mengecewakan membantu masalah terjadi transaksi gomart",0,1
bagys,0,1
banget,0,1
gojek,0,1
"masuk akun lama gak ngebugg muluu bkin akun baru gak bisaa pdhl dlu gmpg bgt bkin akun aplikasi gojek skrg kog dipersulit",0,1
"semenjak semenjak hadirnya goto limit paylater gunakan sy sangat kecewa perna bayar telat cicilan limit bertamba mau pake transaksi gak gunain malah gojek limit paylater blokir beri solusi semulanya nya berjalan lancar baik belanja gofood maupun yg nya sekarang limit bertambah malah sia sia malah alihkan gopay apa limit pay later gunain apa ud gak solusinya terima kasih",0.1,2
"sangat baik sopan",0.5,2
"istimewa banyak promonya",0,1
"sangat suka gojek",0,1
good,0,1
bagus,0.5,2
"sangat membantu",0,1
sip,0,1
"good job",0,1
"perbaiki mantap cepat respon",1,2
"gojek selalu myeyediakan jas hujan bantu jawab",0,1
"aplikasi berat loading muluram hp gb sinyal gutk aplikasi lancar jayacuma aplikasi aja yg lemotmohon diperbaiki kenyamanannyaterima kasih",0,1
"aplikasi driver g mutu",0,1
"selalu andalkan dimanapun terima kasih",0,1
baik,0.5,2
"segalanya mudah dgn gopay",0,1
"kak gopay dibuka terdaftar hp vivo hp bukan vivo",0,1
"aplikasi sangat membantu semoga gojek selalu sukses dn maju",0,1
"berlangganan gofood plus ternyata sekarang ga resto gofood plus menggunakan fitur langganan tersebut mana langganannya bulan langsung mohon perbaiki",0,1
"sangat bgusdan sangat membantu",0,1
well,0,1
"memudahkan sekali terimakasih gojek",0,1
"topup saldo gopay gak masuk masuk semalem akun dinonaktifkan mau pemulihan akun gagal terus payahhhhhhh",-0.5,0
"senang pakai aplikasi gojek jadi mudah",0,1
"selalu membantu sy membutuhkan bantuan",0,1
"top mantap is the best pilihan no sii kalo utk ojek online ataupun gosend",1,2
"respon gonek lama",0,1
"sangat membantu",0,1
"apk jelek",-0.6,0
"aplikasi bangke udah upgrade gopay knp minta upgrade nyusahain hak orang",0,1
"aplikasi paling membantu sehari hari",0,1
good,0,1
"termakasih selalu menjadi yg terbaik",0,1
"nyari driver aja lama bgt",0,1
"memesan driver gojek maksud ku orderan goride padahal aku punya pulsa cukup",0,1
"instan pick up poin terminal bungur asih sebaiknya ditutup diriver yg mau masuk",0,1
"sangat membantu",0,1
"uang kok refund",0,1
top,0,1
membantu,0,1
"aneh bgt gopaylater dipake mulu ga pernah telat bayar limit dinaikin tbtb kena blokir ngirim email jg yg bales robot jawabannya sama mulu udah ajuin laporan sesuai yg disarankan hasilnya tetep nihil wkwk ganti pt malah gak jelas banyak bgt yg tbtb blokir alasan jelas csnya jadul banget apk udah pake live chat whatsapp mah pake email doang yg jawab kayak robot semua maaf kecewa bgt",-0.8,0
"ga suport kalo lokasinya pinggiran kota",0,1
mantap,1,2
"skrng sm sekali g bs buka aplikasi gojeknya pdhal saldo lumayan bnyk didlm",0,1
"gopaylater sy blok",0,1
"membantu banyak manfaat nya",0,1
"puas naik go car",0.9,2
mntul,0,1
"knp gofood jarak dekat sering cancel driver karna ongkir driver murah semoga argo goceng hilangkan",0,1
"gojek yg sekarang bener ngeselin lambat banget selalu dapet titik jauh lokasi order padahal hampir tiap hari pake jauh banget sama hijau sebelah langsung fast respon lokasi driver selalu deket at least ga jauh banget jadi gak kelamaan nunggu i hate it tadinya kasih bintang sekarang bintang aja sangat mengecewakan",-0.8,0
"transaksi pakai qris pas transfer muncul menunggu loading saldo hilang struk gak muncul riwayat transaksi",-0.3,0
"waktu pengiriman cpt",0,1
"main blokir gopaylater sesuka hati gw bayar aesuka hati",0,1
"aplikasi sampah gofood dikirimnya lama jam ga nyampe drivernya males males",-0.5,0
"pak perketat pemasangan foto gw sering ketipu gambar makanan",0,1
"banyak diskon",0,1
"good job",0,1
"biar bintang yg bicara mantul",0,1
"emang skrng ambil orderan yg satu arah jadi lama bgt nunggu orderan datang skrng jg ngerasa nambah lama nympeny entah orderan pdhl jaraknya deket gofood",0,1
"terima kasih banyak atas respon yg baik cepat good jobsemoga semakin maju baik kedepannya",1,2
"gopay later ko ga pakai transaksi payah nih gojek php doank taunya mana ga layanan live chat jg aplikasinya sungguh aplikasi bobrok",0,1
"semoga makin maju ojek karna sangat membantu",0,1
"tolol banget aplikasi nya maksa instant kalo hujan ga driver ga mesen yg biasa dekat titik instant",0,1
"aplikasi apaan salah pin gopay tiga kali ga pakai sama sekali padahal butuh banget",-0.5,0
,0,1
"gojek bagus",0.5,2
"akses mudah cepat pelayanannya memuaskan",0,1
"aplikasi diperbarui kok semakin aneh buka aplikasi selalu tibatiba muncul iklan video gojek sangat ganggu diperbaiki terimakasih",-0.7,0
responsif,0,1
"aplikasi gojek udah berapa bulan susah malah kadang gak aku buka android aku",-0.7,0
"mantap jaya",1,2
"terimakasih atas kerja sama nyasangat membantu usaha jalanimohon pengembangan nya",0,1
"tambah nyaman",0,1
"sore kesel bnget minta update trus hbs update ga k buka gojek nya mana baru isi saldo lgi trus cara nya gmn biar saldo balikin lgi",0,1
"makasih gojeksering ksih diskon",0,1
"sangat senang sekali murah sesuai tujuan ramah terlalu lama menunggu",0,1
"pesan gojek lama sekali",0,1
"aplikasi bagus sangat membantu klo pas perlu biaya mendadak",0.5,2
"aplikasi gak jelas susah dpt driver",-0.6,0
jos,0,1
"ga jelas tiba tiba gopaylater diblokir padahal ga pernah telat aneh banget gojek sekarang",-0.4,0
"aplikasi membantu cari makanan layanan antar jemput banyakin diskon aja menururtku biar tambah rame",0,1
"gopinjam gopaylatter menu kalau ga digunakanpadahal semua tagihan dibayar lunas kurang sedikitpun mengecewakan",0,1
"harusnya biaya aplikasi dihapuskan manfaatnya buat customer driver menguntungkan perusahaan",0,1
"driver sameday nya kacau lama nya melebihi estimasi berjam jam",-0.3,0
"mantap cuy",1,2
nice,0,1
"semoga gojek enyah indonesia",0,1
"lbih mudah",0,1
,0,1
"ngak menguntungkan konsumenuntuk orderan double buat drivernya terlalu lama menunggu konsumen pertama parah",-0.6,0
"pakai gojekhampir hari tp kadang gojek sesuai dgn tujuan yg inginknterkadang jg gk sesuaialias ngawur",-0.1,0
"sistem nya skrg aneh waktu benar kalo pesan jalur ganjil genap gak masuk driver gocar yg plat nya sesuai tanggal nya skrg masuk orderan nya driver yg plat nya sesuai jadi buang waktu pesan cancel pesan cancel",-0.4,0
"gak install kalo edit bintang",0,1
"sok sok an diskon pulsa padahal error mulu kalo ga niat bikin diskon ga usah bikin booosss",0,1
"bagus bintang",0.5,2
"gojek kaga hemat mahal semua",-0.3,0
good,0,1
"aplikasi tololtiba paylater gw blokir",0,1
"memberi bintang bukan main memang bener sukses sll pengetrapan anggota gojekteansportasi sukses sll",0,1
"murah meriah pelayanannya selalu baguss",0,1
mantapp,0,1
membantu,0,1
"bagus membantu",0.5,2
"terus berinofasi",0,1
,0,1
"sangat membantu",0,1
"ongkir ny mahal",-0.3,0
"hari kamis tgl januari waktu wib top up gopay senilai rp utk pembayaran gofood aneh top up masuk akun gopay saldo bank langsung terpotong sesuai jumlah top up tsb coba menghubungi customer care tdk samq sekali mohon penjelasan pihak gojek yg spt terjadi",-0.4,0
"sangat senang",0,1
"gojek selallu oke mantap",1,2
keren,0,1
keren,0,1
ekspres,0,1
"cebelapa imut ci acu",0,1
"laporan memblokir akun hack tunggu x lewat lebih hari tetap digunakan tanggapan memberikan solusi halow parah bener prematur",-0.6,0
"driver khususnya roda coba helm penumpang layak pake terus klo hujan coba tawarin mau pake jas hujan masa jasa driver melengkapi amunisinya tanya penumpang mau berangkat aktifitasburugimana kadang driver yg jalannya doyok emang mau jalan klo posisi mau tarik oder penumpang disaranin bbm fullcukup pom bensin suka antri",-0.1,0
"aplikasi gojek sangat membantu disaat berbelanja maupun berkendara situasi mager semoga kedepannya ditambahkan fitur terbaru terbaik",0,1
"knapa gak dibuka",0,1
"best pkk nya klo buat cr makan mager",0,1
"mantap membantu sekali jadi mudah mau kemanacepat",1,2
"parah notif banyak karna aok driver masuk aok cs parah gojek nyampah aja gojek semakin semerawut banget",-1.2,0
recommended,0,1
"mentang punya komunitas besar jgn se enak jidatnyamakan minum bayarlahdriver gojek makin menjadi kaya premandriver gojek tlol",0,1
"semoga semakin mempermudah",0,1
"blm pernah mengecewakan",0,1
"driver jgn terlalu banyak potongan y",0,1
good,0,1
mantap,1,2
"satu kata dora chindo asu",0,1
"gojek transportasi yg membantu keluarga situasi apapun tp sayangnya daerah pagi hari susah sekali gojek adapun jaraknya jauh lama kalau menunggu",-0.6,0
nice,0,1
"gojek adil gojek sedikit promo akun teman teman semua promo apa berlangganan gopayplus gratis ongkir putuskan menggunakan apk gojek rugi banyak lebih baik pinjam akun teman buat akun baru minat mengejar target menjadi anak sultan rugi",-0.3,0
"knpa ko gbisa masuk trus notifikasi integritas dirusak sistem berbahaya meretas data pribadi dong min mamah pengen recesss soal nya",0,1
"aja lah",0,1
okee,0,1
"sangat membantu",0,1
good,0,1
"bintang promo go tagihan dipakai lebih baik dihapus aja kalau g dipakai",1.1,2
"mantap gojek indonesia",1,2
"i like it banyak promo jg",0.6,2
"mudah pengaplikasian",0,1
"gojek kembalikan bintangnya menjadi kembalikarena gopaylater normal semoga dpn nya jauh lbh baik lagiaamiin",0.5,2
"order gocar kemarin lihat harga segini murahpas beberapa menit langsung berubah mahal flat bohongi customer",-0.3,0
"membantu bgt",0,1
"sangat membantu",0,1
good,0,1
"lah driver lg pusing menekan pengeluar ga banyak utang nih tawarin ngutang",0,1
top,0,1
"penyelesaian masalah sangat baik",0.5,2
"gojek zholim saldo gopay tau tau padahal kemarin baru transfer k case closed ternyata gopay gopay saldo gopay tabungan saldo gopay masuk gopay tabungan bukan gopay saldo kapan kapan kalo perubahan sosialisasi kan terlebih menimbulkan isu terimakasih",0,1
"menggunakan aplikasi terinstal bila membuka gojek mohon petunjuknya",0,1
"bagus promonya ngk worry mau pesan gofoodhee",0.5,2
"gak ajukan gopaylater selalu mutar gak jelas aplikasi jelek",-0.6,0
"sering kasih voucher diskon go food",0,1
"udah paylater ny ga pake udah lemot makin upgrade makin ga jelas ni apk",0,1
bagus,0.5,2
"semenjak update malah sering bug aplikasi makanan jadinya setengah jam ternyata driver udah nunggu depan rumah",0,1
"semoga tetap memberikan yg terbaik indonesia",0,1
tolol,0,1
"masalah upgrade gopay plus gak selessi selesai hampir satu tahun malah lebih mungkin bolak balik suruh cek link ber kali kali lakukan ituhasilnya besar dulu gojek yg nyaranin ganti foto ektp lakukan dispenduk ternyata sama tetep gak upgrade gopay plus",0,1
mantap,1,2
"dangat membantu transfortasi instan",0,1
"pelit diskon masa minimal order rb diskonnya cuma rb wkwk udah gitu jasa aplikasi nya rb banyak banget ngambil untungauto uninstall lebih mantap grab",0.7,2
"paylater gajelas bayar semua yg ditagih yg katanya beda jatuh tenpo kalau beda jatuh tenpo gak usah dimasukin list yg sebelumnya jadi bayar x kocak hubungi cs jawabannya aja",-0.3,0
